,cons,pros
178,-During the out of school season its hard to make even $10 an hour.\r\n-Uber takes a 25% off the top rate of every ride.\r\n-Long hours collecting tax receipts and recording mileage logs. \r\n-If tax benefits were not in place Uber would not be worth it.,"-Flexible hours.\r\n-Good money during busy times (concerts, events).\r\n-Networking opportunities.\r\n-Good money during school season."
179,"A fast paced environment is not for everyone, to succeed you need to be autonomous, hard working, confident, and committed.","Uber has a fast paced, creative and collaborative culture. You will have the opportunity to be involved with many exciting projects and tasks with passionate and enthusiastic people. Everyone is talented, supportive and wants to do their best!"
180,overall I am satisfied with Uber and working at Uber.,"Career path,Compensations &amp; Benefits,Culture,Work balance."
181,i dont know of any,"very good work culture, easy to grow,  we do the right thing."
182,Not bad feedback to provide at this time.,Strong commitment and wide knowledge
183,Lack of communication with the back office.,"Part-time, Teamwork, Training,  great work environment."
184,None at this time.,"Uber has been a tremendous place to work.  Young atmosphere with strong leadership enabling employees to get the most out of each day. The benefits package are second to none (breakfast, catered lunches, Uber rides/eats)."
185,Little progression available tends to be based on length of service rather then work ethic.  Poor Management very little feedback or direction given to employees. Work can become monotonous and repetitive.,"Starting salary is quite good. Good benefits - health insurance, wellness benefits such as gym membership."
186,I have been working with Uber never found down side,Uber has flexibility and security for driver and passengers
187,"A big portion of the comp package is equity, so depending on how you view that it could be seen as a negative.","This is a good place to work if you like the feel of a startup but want the benefits of a big company. A few specific things you get from this job:\r\n-- ability to work with a lot of data and hone data skills (i.e. excel analysis and SQL, among others)\r\n-- ability to carve your own career path (it's normal for people to move teams and/or offices if you want)\r\n-- ability to make a difference (a change you make could result in +$1m revenue increase for the company within a week)\r\n-- ownership over your role (ability to make decisions and implement them yourself quickly)"
188,"Not a lot of diversity, talking about professional and scholar experience.","Uber will amaze more than you think, the process that I lived was amazing! Know from the inside I can see why Uber invest a lot of time/money in all the recruitment process. It's amazing to work with such amazing and intelligent people. On three months I learn a lot!"
189,"If you're good enough but in it solely for the money, then you're at the wrong address. \r\n\r\nThe process from application to hire/onboarding is really long, but it ensures your colleagues are strong enough to fit in.\r\n\r\nDepending on country, there's a stigma \","Incredible network. You'll instantly have access to tons of high-caliber people around the world with all sorts of backgrounds. It's very much like gaining another top-MBA network. And what's best is, they all want to collaborate!\r\n\r\nIt's a startup environment, but safer and with enough corporate flair. \r\n\r\nYou'll have a lot of opportunities to distinguish yourself and grow vertically and horizontally."
